IOC,Last Analysis Date,Malicious Count,VT Link
44d88612fea8a8f36de82e1278abb02f,1732576828,65,https://www.virustotal.com/gui/file/44d88612fea8a8f36de82e1278abb02f
9e107d9d372bb6826bd81d3542a419d6,1731532172,0,https://www.virustotal.com/gui/file/9e107d9d372bb6826bd81d3542a419d6
098f6bcd4621d373cade4e832627b4f6,1732423691,0,https://www.virustotal.com/gui/file/098f6bcd4621d373cade4e832627b4f6
5f4dcc3b5aa765d61d8327deb882cf99,1731441956,0,https://www.virustotal.com/gui/file/5f4dcc3b5aa765d61d8327deb882cf99
e99a18c428cb38d5f260853678922e03,1731932916,0,https://www.virustotal.com/gui/file/e99a18c428cb38d5f260853678922e03
5ebe2294ecd0e0f08eab7690d2a6ee69,1692689824,1,https://www.virustotal.com/gui/file/5ebe2294ecd0e0f08eab7690d2a6ee69
81dc9bdb52d04dc20036dbd8313ed055,1725587582,0,https://www.virustotal.com/gui/file/81dc9bdb52d04dc20036dbd8313ed055
c4ca4238a0b923820dcc509a6f75849b,1732345404,0,https://www.virustotal.com/gui/file/c4ca4238a0b923820dcc509a6f75849b
e242ed3bffccdf271b7fbaf34ed72d089537b42f,1717611691,0,https://www.virustotal.com/gui/file/e242ed3bffccdf271b7fbaf34ed72d089537b42f
5baa61e4c9b93f3f0682250b6cf8331b7ee68fd8,1731441956,0,https://www.virustotal.com/gui/file/5baa61e4c9b93f3f0682250b6cf8331b7ee68fd8
7c222fb2927d828af22f592134e8932480637c0d,1722313062,0,https://www.virustotal.com/gui/file/7c222fb2927d828af22f592134e8932480637c0d
c3fcd3d76192e4007dfb496cca67e13b,1577665903,0,https://www.virustotal.com/gui/file/c3fcd3d76192e4007dfb496cca67e13b
827ccb0eea8a706c4c34a16891f84e7b,1732546806,0,https://www.virustotal.com/gui/file/827ccb0eea8a706c4c34a16891f84e7b
8cb2237d0679ca88db6464eac60da96345513964,1732546806,0,https://www.virustotal.com/gui/file/8cb2237d0679ca88db6464eac60da96345513964
900150983cd24fb0d6963f7d28e17f72,1732533136,0,https://www.virustotal.com/gui/file/900150983cd24fb0d6963f7d28e17f72
c1dfd96eea8cc2b62785275bca38ac261256e278,1725723349,0,https://www.virustotal.com/gui/file/c1dfd96eea8cc2b62785275bca38ac261256e278
fe01ce2a7fbac8fafaed7c982a04e229,1699793873,0,https://www.virustotal.com/gui/file/fe01ce2a7fbac8fafaed7c982a04e229
98f13708210194c475687be6106a3b84,1722970934,0,https://www.virustotal.com/gui/file/98f13708210194c475687be6106a3b84
